batch	source_language	id	type	team_name	sheet_type	annotator_id	task	label	Notes
B01	English	1	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	2	MAIN	SQUad	MAIN	2	Bias	Unbiased	
B01	English	4	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	7	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	8	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	10	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	14	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	17	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	18	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	20	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	21	MAIN	SQUad	MAIN	2	Bias	Unbiased	
B01	English	23	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	25	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	27	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	28	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	29	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	31	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	34	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	36	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	41	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	42	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	44	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	45	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	48	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	57	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	58	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	64	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	66	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	70	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	71	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	76	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	82	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	85	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	86	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	94	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	98	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	99	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	104	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	111	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	115	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	118	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	127	MAIN	SQUad	MAIN	2	Bias	Unbiased	
B01	English	134	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	142	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	151	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	155	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	163	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	176	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	179	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	184	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	195	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	199	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	205	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	216	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	223	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	231	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	243	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	262	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	283	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	286	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	287	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	291	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	300	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	302	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	336	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	343	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	354	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	356	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	366	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	377	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	383	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	386	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	393	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	400	MAIN	SQUad	MAIN	2	Bias	Unbiased	
B01	English	403	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	417	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	425	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	429	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	430	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	450	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	507	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	510	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	512	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	541	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	542	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	544	MAIN	SQUad	MAIN	2	Bias	Unbiased	
B01	English	553	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	560	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	562	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	565	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	566	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	572	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	576	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	577	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	582	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	592	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	593	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	600	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	605	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	608	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	615	MAIN	SQUad	MAIN	2	Bias	Biased against both Palestine and Israel	
B01	English	620	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	623	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	651	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	663	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	668	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	679	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	712	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	714	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	723	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	724	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	725	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	745	MAIN	SQUad	MAIN	2	Bias	Biased against Palestine	
B01	English	748	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	757	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	759	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	761	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	763	MAIN	SQUad	MAIN	2	Bias	Unclear	
B01	English	777	MAIN	SQUad	MAIN	2	Bias	Biased against others	
B01	English	784	MAIN	SQUad	MAIN	2	Bias	Biased against others	
