Batch	Source Language	ID	Type	Text	English MT	Arabic MT	Annotator ID	Bias	Propaganda	Comments
B01	Arabic	10	IAA	شاركونا بحملة #دواعش_حماس لا يمثلوني ودواعش حماس لا يمثلون الاسلام والمسلمين. شاركونا بفيديوهاتكم ورسائلكم	Join us in the campaign #Hamas_ISIS does not represent me, and Hamas ISIS does not represent Islam and Muslims. Share your videos and messages with us	شاركونا بحملة #دواعش_حماس لا يمثلوني ودواعش حماس لا يمثلون الاسلام والمسلمين. شاركونا بفيديوهاتكم ورسائلكم				
B01	English	15	IAA	In an extended interview, Krishnan Guru-Murthy asks Israel's Ambassador to the UK, Tzipi Hotovely, whether she has empathy for the Palestinian people. Watch in full: https://youtu.be/trm0IFwsz-o?si=QYBEaSuXqzayIO5s:=:https://www.youtube.com/watch?v=trm0IFwsz-o #israel #ambassador #hamas #channel4news #gaza	In an extended interview, Krishnan Guru-Murthy asks Israel's Ambassador to the UK, Tzipi Hotovely, whether she has empathy for the Palestinian people. Watch in full: https://youtu.be/trm0IFwsz-o?si=QYBEaSuXqzayIO5s:=:https://www.youtube.com/watch?v=trm0IFwsz-o #israel #ambassador #hamas #channel4news #gaza	في مقابلة مطولة، سأل كريشنان غورو-مورثي سفيرة إسرائيل لدى المملكة المتحدة، تسيبي هوتوفيلي، عما إذا كانت تتعاطف مع الشعب الفلسطيني. شاهد كاملا: https://youtu.be/trm0IFwsz-o?si=QYBEaSuXqzayIO5s:=:https://www.youtube.com/watch?v=trm0IFwsz-o #israel #ambassador #hamas #channel4news #gaza				
B01	Hebrew	15	IAA	״חנוך ערב טוב. נשמח אם תוכל לשתף על גיבור ישראל. רב סרן טל כהן מסיירת מטכ"ל. הגיע ראשון לכפר עזה ונהרג כגיבור בעת שהציל אזרחים רבים״. יהי זכרך ברוך גיבור❤️	"Enoch, good evening." We would be happy if you could share about the Hero of Israel. Major Tal Cohen from a patrol of the General Staff. He arrived first in Kfar Gaza and was killed as a hero while saving many civilians. May your memory be blessed hero❤️	"إينوك، مساء الخير." سنكون سعداء إذا تمكنت من مشاركة معلومات عن بطل إسرائيل. الرائد طال كوهين من دورية هيئة الأركان وصل أولاً إلى كفار غزة واستشهد بطلاً أثناء إنقاذ العديد من المدنيين، تبارك ذكرك أيها البطل❤️				
B01	Hindi	17	IAA	LIVE-इजरायल को पीटकर भागा हमास, दुनिया देखती रही! #Israel #Hamas	LIVE-Hamas ran away after beating Israel, the world kept watching! #Israel #Hamas	بث مباشر - حماس هربت بعد هزيمة إسرائيل والعالم ظل يتفرج! #اسرائيل #حماس				
B01	Arabic	23	IAA	محتجزة إسرائيلية لدى حماس تثير الغضب في إسرائيل أثناء عملية إطلاق سراحها #الشرق #الشرق_للأخبار	An Israeli detainee held by Hamas sparks anger in Israel during her release #Al-Sharq #Al-Sharq_News	محتجزة إسرائيلية لدى حماس تثير الغضب في إسرائيل أثناء عملية إطلاق سراحها #الشرق #الشرق_للأخبار				
B01	English	24	IAA	Israel facing security ‘earthquake’ and ‘battle for national survival,’ expert says 	Israel facing security ‘earthquake’ and ‘battle for national survival,’ expert says 	يقول خبير إن إسرائيل تواجه "زلزالاً" أمنياً و"معركة من أجل البقاء الوطني".				
B01	English	43	IAA	FREE AT LAST: The identities of the second group of 13 Israeli hostages freed from Hamas terrorists have been revealed. The group consists of women, teenagers and children, and many of them are from Kibbutz Be'eri, one of the kibbutzim that was devastated by Hamas. https://trib.al/8Inc6oq:=:https://www.foxnews.com/world/israel-hamas-war-identities-recently-released-israeli-hostages-revealed	FREE AT LAST: The identities of the second group of 13 Israeli hostages freed from Hamas terrorists have been revealed. The group consists of women, teenagers and children, and many of them are from Kibbutz Be'eri, one of the kibbutzim that was devastated by Hamas. https://trib.al/8Inc6oq:=:https://www.foxnews.com/world/israel-hamas-war-identities-recently-released-israeli-hostages-revealed	أخيرًا: تم الكشف عن هويات المجموعة الثانية المكونة من 13 رهينة إسرائيليًا تم تحريرها من إرهابيي حماس. وتتكون المجموعة من نساء ومراهقين وأطفال، والعديد منهم من كيبوتس بئيري، أحد الكيبوتسات التي دمرتها حماس. https://trib.al/8Inc6oq:=:https://www.foxnews.com/world/israel-hamas-war-identities-recently-released-israeli-hostages-revealed				
B01	French	49	IAA	En soutien au Hamas, un autre groupe armé du Yémen a pris d'assaut un navire commercial en Mer Rouge qui appartient à un homme d'affaires israélien. Tout a été filmé par les assaillants eux-mêmes.	In support of Hamas, another armed group from Yemen stormed a commercial ship in the Red Sea that belongs to an Israeli businessman. Everything was filmed by the attackers themselves.	ودعما لحركة حماس، قامت مجموعة مسلحة أخرى من اليمن باقتحام سفينة تجارية في البحر الأحمر تابعة لرجل أعمال إسرائيلي. تم تصوير كل شيء من قبل المهاجمين أنفسهم.				
B01	French	52	IAA	#Israel 🇮🇱 a approuvé un accord pour une trêve et la libération d'otages à #Gaza. Que prévoit exactement cet accord ? On fait le point ⤵️ Plus d'informations sur https://go.france24.com/bcn:=:https://www.france24.com/fr/moyen-orient/20231122-%F0%9F%94%B4-en-direct-le-gouvernement-isra%C3%A9lien-approuve-l-accord-de-lib%C3%A9ration-d-otages-%C3%A0-gaza	#Israel 🇮🇱 approved a deal for a truce and the release of hostages in #Gaza. What exactly does this agreement provide? We take stock ⤵️ More information on https://go.france24.com/bcn:=:https://www.france24.com/fr/moyen-orient/20231122-%F0%9F%94%B4 -live-the-israe-government%C3%A9link-approves-the-liberation-agreement%C3%A9hostage-ration-%C3%A0-gaza	#إسرائيل 🇮🇱 تصادق على اتفاق التهدئة والإفراج عن الرهائن في #غزة. ما الذي توفره هذه الاتفاقية بالضبط؟ نحن نقوم بالتقييم ⤵️ مزيد من المعلومات على https://go.france24.com/bcn:=:https://www.france24.com/fr/moyen-orient/20231122-%F0%9F%94%B4 -live- -الحكومة-الإسرائيلية%C3%A9رابط-توافق على-اتفاقية-التحرير%C3%A9رهائن-%C3%A0-غزة				
B01	English	53	IAA	“I need the West to understand something. Bombs kill people.” Cenk Uygur, the founder of American news organisation The Young Turks, appeared on Piers Morgan Uncensored on Monday where he spoke about the ongoing Israel-Palestine war. During the interview Uygur, who announced he will run for president earlier this month, criticised Israel over its ongoing bombing campaign in Gaza and the United States for supporting it.	“I need the West to understand something. Bombs kill people.” Cenk Uygur, the founder of American news organisation The Young Turks, appeared on Piers Morgan Uncensored on Monday where he spoke about the ongoing Israel-Palestine war. During the interview Uygur, who announced he will run for president earlier this month, criticised Israel over its ongoing bombing campaign in Gaza and the United States for supporting it.	"أحتاج إلى أن يفهم الغرب شيئًا ما. القنابل تقتل الناس». ظهر سينك أويغور، مؤسس منظمة الأخبار الأمريكية The Young Turks، في برنامج Piers Morgan Uncentriced يوم الاثنين حيث تحدث عن الحرب المستمرة بين إسرائيل وفلسطين. وخلال المقابلة، انتقد الويغور، الذي أعلن أنه سيرشح نفسه للرئاسة في وقت سابق من هذا الشهر، إسرائيل بسبب حملة القصف المستمرة في غزة والولايات المتحدة لدعمها لها.				
B01	Arabic	61	IAA	كيف سيطرت حركة "#حماس" على غزة؟ #المجلة	How did Hamas take control of Gaza? #the magazine	كيف سيطرت حركة "#حماس" على غزة؟ #المجلة				
