Batch	Source Language	ID	Type	Text	English MT	Arabic MT	Annotator ID	Bias	Propaganda	Comments
B01	English	1	MAIN	Yemen's Houthis have waded into the Israel-Hamas war raging more than 1,000 miles from their seat of power in Sanaa, declaring they fired drones and missiles at Israel in attacks that highlight the regional risks of the conflict https://reut.rs/40jSi7A:=:https://www.reuters.com/world/middle-east/yemens-houthis-enter-mideast-fray-hardening-spillover-fears-2023-10-31/	Yemen's Houthis have waded into the Israel-Hamas war raging more than 1,000 miles from their seat of power in Sanaa, declaring they fired drones and missiles at Israel in attacks that highlight the regional risks of the conflict https://reut.rs/40jSi7A:=:https://www.reuters.com/world/middle-east/yemens-houthis-enter-mideast-fray-hardening-spillover-fears-2023-10-31/	خاض الحوثيون في اليمن الحرب بين إسرائيل وحماس التي تدور رحاها على بعد أكثر من 1000 ميل من مقر سلطتهم في صنعاء، وأعلنوا أنهم أطلقوا طائرات بدون طيار وصواريخ على إسرائيل في هجمات تسلط الضوء على المخاطر الإقليمية للصراع https://reut.rs/40jSi7A ::https://www.reuters.com/world/middle-east/yemens-houthis-enter-mideast-fray-hardening-spillover-fears-2023-10-31/				
B01	Arabic	1	MAIN	حماس الارهابية الداعشية تجلب العار للعرب والمسلمين رغم انهم منها براء. انا على يقين ان المسلم الحقيقي وصاحب النخوة العروبية يعارض الافعال الهمجية الوحشية التي مارسها هؤلاء الارهابيون من حماس بحق المدنيين الاسرائيليين #السيوف_الحديدية	Hamas, the ISIS terrorist organization, brings shame to Arabs and Muslims even though they are innocent of it. I am certain that a true Muslim and a person of Arab pride opposes the barbaric acts committed by these terrorists from Hamas against Israeli civilians #Iron_Swords	حماس الارهابية الداعشية تجلب العار للعرب والمسلمين رغم انهم منها براء. انا على يقين ان المسلم الحقيقي وصاحب النخوة العروبية يعارض الافعال الهمجية الوحشية التي مارسها هؤلاء الارهابيون من حماس بحق المدنيين الاسرائيليين #السيوف_الحديدية				
B01	French	1	MAIN	De la nourriture pour animaux transformée en farine puis en pain : voilà à quoi sont réduits les Gazaouis pour ne pas mourir de faim. Plusieurs Gazaouis recourent à des mélanges de maïs, d’orge et de nourriture pour animaux pour fabriquer leur pain, après avoir dû boire les eaux usées faute d’eau potable. Alors que des convois d’aides humanitaires sont toujours bloqués à la frontière avec l’Egypte, au sud de l’enclave, 570 000 personnes à Gaza sont confrontées à une famine catastrophique, alerte le Programme alimentaire mondial (PAM) de l’ONU. L’UNRWA ainsi que plusieurs organisations humanitaires dénoncent le blocage des aides par les autorités israéliennes, et appellent à les laisser immédiatement entrer dans le nord de l’enclave.	Animal food transformed into flour then into bread: this is what Gazans are reduced to in order not to die of hunger. Many Gazans use mixtures of corn, barley and animal feed to make their bread, after having to drink waste water for lack of drinking water. While humanitarian aid convoys are still blocked on the border with Egypt, south of the enclave, 570,000 people in Gaza are facing catastrophic famine, warns the UN World Food Program (WFP) . UNRWA as well as several humanitarian organizations denounce the blocking of aid by the Israeli authorities, and call for it to immediately be allowed to enter the north of the enclave.	تحويل الغذاء الحيواني إلى دقيق ومن ثم إلى خبز: هذا ما يضطر إليه سكان غزة حتى لا يموتوا من الجوع. ويستخدم العديد من سكان غزة خليط الذرة والشعير والأعلاف الحيوانية لصنع خبزهم، بعد أن اضطروا إلى شرب المياه العادمة بسبب نقص مياه الشرب. وبينما لا تزال قوافل المساعدات الإنسانية محظورة على الحدود مع مصر، جنوب القطاع، يواجه 570 ألف شخص في غزة مجاعة كارثية، حسبما يحذر برنامج الأغذية العالمي التابع للأمم المتحدة. وتدين الأونروا، بالإضافة إلى العديد من المنظمات الإنسانية، قيام السلطات الإسرائيلية بمنع المساعدات، وتطالب بالسماح لها بالدخول الفوري إلى شمال القطاع.				
B01	Hebrew	1	MAIN	מצד אחד מה קורה כשחיילי צה"ל פוגשים ילדים פלסטינים, מצד שני מה קורה כשמחבלי חמאס פוגשים ילדים ישראלים (וזה במקרה הטוב שלא טובחים בהם). שתפו שבכל העולם יראו את זה! On the one hand, what happens when IDF soldiers meet Palestinian children, on the other hand, what happens when Hamas terrorists meet Israeli children (and in the best case they don't massacre them). Share it so the whole world can see it!	On the one hand, what happens when IDF soldiers meet Palestinian children, on the other hand, what happens when Hamas terrorists meet Israeli children (and in the best case they don't massacre them). Share it so the whole world can see it! On the one hand, what happens when IDF soldiers meet Palestinian children , on the other hand, what happens when Hamas terrorists meet Israeli children (and in the best case they don't massacre them). Share it so the whole world can see it!	من ناحية، ماذا يحدث عندما يلتقي جنود جيش الدفاع الإسرائيلي بأطفال فلسطينيين، ومن ناحية أخرى، ماذا يحدث عندما يلتقي إرهابيو حماس بأطفال إسرائيليين (وفي أفضل الأحوال لا يذبحونهم). شاركها حتى يتمكن العالم كله من رؤيتها من ناحية، ماذا يحدث عندما يلتقي جنود جيش الدفاع الإسرائيلي بأطفال فلسطينيين، ومن ناحية أخرى، ماذا يحدث عندما يلتقي إرهابيو حماس بأطفال إسرائيليين (وفي أفضل الأحوال لا يذبحونهم). انشرها حتى يتمكن العالم أجمع من رؤية ذلك هو - هي!				
B01	Hindi	1	MAIN	LIVE- अमेरिका-इजराइल मिलकर करेंगे ईरान पर हमला!, देखिए तेल अवीव से लाइव कवरेज 'सौ बात की एक बात' #Israel #IsraelAtWar #Gaza	LIVE- America-Israel will together attack Iran!, watch live coverage from Tel Aviv 'Sau Baat Ki Ek Baat' #Israel #IsraelAtWar #Gaza	بث مباشر- أمريكا وإسرائيل ستهاجمان إيران معًا!، شاهد تغطية حية من تل أبيب "Sau Baat Ki Ek Baat" #إسرائيل #إسرائيل_في_الحرب #غزة				
B01	English	2	MAIN	Isreal - Hamas Conflict | Face to Face	Isreal - Hamas Conflict | Face to Face	إسرائيل - الصراع مع حماس | وجها لوجه				
B01	Arabic	2	MAIN	رئيس المكتب السياسي لحركة "حماس" إسماعيل هنية: "العدو نزل عند شروط المقاومة وإرادة شعبنا الأبي ما أدى للتوصل لاتفاق الهدنة" #الأخبار #حرب_غزة	Head of the Hamas Political Bureau, Ismail Haniyeh: “The enemy agreed to the conditions of resistance and the will of our proud people, which led to reaching a truce agreement.” #News #Gaza_War	رئيس المكتب السياسي لحركة "حماس" إسماعيل هنية: "العدو نزل عند شروط المقاومة وإرادة شعبنا الأبي ما أدى للتوصل لاتفاق الهدنة" #الأخبار #حرب_غزة				
B01	French	2	MAIN	Samedi 7 octobre, il était aux alentours de 6h30 quand des milliers de jeunes participants au Supernova festival ont été attaqués par des terroristes du Hamas dans le kibboutz de Réïm, dans le sud d'Israël. Au moins 260 corps ont été découverts sur le site. De nombreux autres participants à la rave party sont portés disparus.	On Saturday October 7, it was around 6:30 a.m. when thousands of young participants in the Supernova festival were attacked by Hamas terrorists in the Kibbutz of Reim, in southern Israel. At least 260 bodies were discovered at the site. Many other rave party attendees are missing.	في يوم السبت 7 أكتوبر، كانت الساعة حوالي الساعة 6:30 صباحًا عندما تعرض آلاف الشباب المشاركين في مهرجان السوبرنوفا لهجوم من قبل إرهابيي حماس في كيبوتس ريم، جنوب إسرائيل. وتم اكتشاف ما لا يقل عن 260 جثة في الموقع. العديد من الحاضرين الآخرين في حفل الهذيان مفقودون.				
B01	Hebrew	2	MAIN	בבוקר של חג יהודי בישראל נכנסו מאות מחבלים חמושים מעזה ליישובי ישראל, טבחו באזרחי חפים מפשע- צעירים ומבוגרים, חטפו אזרחים וחיילים לתוך שטחם, ירו אלפי רקטות שרצחו יהודים וערבים בישראל. ארגון טרור חמאס הכריז מלחמה על מדינת ישראל! כל העולם חייב לגנות זאת ולתמוך בתגובה של ישראל שתהיה חזקה וקשה ביותר בדיוק כמו שכל מדינה ריבונית אחרת הייתה מגיבה לזה!!! In the morning of a Jewish holiday in Israel, hundreds of armed Hamas terrorists from Gaza entered Israeli cities, massacred innocent citizens - young and old, kidnapped civilians and soldiers into their territory, and fired thousands of rockets that killed Jews and Arabs in Israel. The terrorist organization Hamas has declared war on the State of Israel. The whole world must condemn this and support Israel's response which will be extremely harsh and just as any other sovereign country in the world would react to this!!!	On the morning of a Jewish holiday in Israel, hundreds of armed terrorists from Gaza entered Israeli settlements, massacred innocent citizens - young and old, kidnapped civilians and soldiers into their territory, fired thousands of rockets that killed Jews and Arabs in Israel. The terrorist organization Hamas has declared war on the State of Israel! The whole world must condemn this and support Israel's response which will be extremely strong and severe just as any other sovereign country would react to this!!! In the morning of a Jewish holiday in Israel, hundreds of armed Hamas terrorists from Gaza entered Israeli cities, massacred innocent citizens - young and old, kidnapped civilians and soldiers into their territory, and fired thousands of rockets that killed Jews and Arabs in Israel. The terrorist organization Hamas has declared war on the State of Israel. The whole world must condemn this and support Israel's response which will be extremely harsh and just as any other sovereign country in the world would react to this!!!	في صباح يوم عطلة يهودية في إسرائيل، دخل مئات الإرهابيين المسلحين من غزة إلى المستوطنات الإسرائيلية، وذبحوا مواطنين أبرياء - صغارًا وكبارًا، واختطفوا مدنيين وجنودًا إلى أراضيهم، وأطلقوا آلاف الصواريخ التي قتلت اليهود والعرب في إسرائيل. لقد أعلنت منظمة حماس الإرهابية الحرب على دولة إسرائيل! يجب على العالم كله أن يدين هذا ويدعم الرد الإسرائيلي الذي سيكون قويا وقاسيا للغاية، تماما كما سيكون رد فعل أي دولة ذات سيادة على هذا!!! في صباح يوم عطلة يهودية في إسرائيل، دخل المئات من إرهابيي حماس المسلحين من غزة إلى المدن الإسرائيلية، وذبحوا مواطنين أبرياء - صغارًا وكبارًا، واختطفوا مدنيين وجنودًا إلى أراضيهم، وأطلقوا آلاف الصواريخ التي قتلت اليهود والعرب في إسرائيل. لقد أعلنت منظمة حماس الإرهابية الحرب على دولة إسرائيل. يجب على العالم أجمع أن يدين هذا ويدعم الرد الإسرائيلي الذي سيكون قاسياً للغاية، تماماً كما سترد أي دولة ذات سيادة في العالم على هذا!!!				
B01	Hindi	2	MAIN	LIVE | हमास पर 180 डिग्री वाले हमले शुरु	LIVE | 180 degree attacks begin on Hamas	مباشر | تبدأ الهجمات 180 درجة على حماس				
